tconst,Revenue,Budget,Production_Company
tt0104418,"$26,055",,Hemdale
tt0105819,"$573,904",,Triumph Releasing Corporation
tt0105121,"$31,347,154","$6,000,000",Universal Pictures
tt0105691,"$221,295",,Columbia Pictures
tt0101969,"$40,991,329",,Twentieth Century Fox
tt0105652,"$152,322",,Lions Gate Films
tt0103956,"$20,560,255",,Universal Pictures
tt0101898,"$2,415,396",,The Samuel Goldwyn Company
tt0101917,"$34,872,033","$11,000,000",New Line Cinema
tt0103143,"$256,521",,Triton Pictures
tt0102951,"$36,489,888",,Paramount Pictures
tt0102945,"$174,999,005","$19,000,000",Twentieth Century Fox
tt0102926,"$272,742,922","$19,000,000",Orion Pictures
tt0102915,"$2,275,557",,Warner Bros.
tt0102900,"$11,511,031",,Metro-Goldwyn-Mayer (MGM)
tt0102898,"$115,103","$1,400,000",IRS Media
tt0102820,"$7,241,350",,Metro-Goldwyn-Mayer (MGM)
tt0102818,"$4,409,328","$16,000,000",Walt Disney Studios Motion Pictures
tt0102803,"$46,704,056","$35,000,000",Walt Disney Studios Motion Pictures
tt0102802,"$11,657,385",,The Samuel Goldwyn Company
tt0101829,"$1,022,282",,Miramax
tt0102798,"$390,493,908","$48,000,000",Warner Bros.
tt0102789,"$21,756,163",,Warner Bros.
tt0102782,"$2,807,854","$11,000,000",Columbia Pictures
tt0102969,"$179,469",,Miramax
tt0101831,"$5,451,119","$13,000,000",Orion Pictures
tt0102975,"$96,888,996",,Paramount Pictures
tt0102984,"$9,151,887",,Columbia Pictures
tt0103125,"$418,807",,Paramount Pictures
tt0103112,"$15,073,942",,TriStar Pictures
tt0103110,"$3,089,497",,October Films
tt0103105,"$1,228,153",,Triton Pictures
tt0103074,"$45,465,989","$16,500,000",Metro-Goldwyn-Mayer (MGM)
tt0103064,"$520,881,154","$102,000,000",TriStar Pictures
tt0103060,"$78,656,813","$25,000,000",New Line Cinema
tt0103055,"$16,497",,Castle Hill Productions
tt0103039,"$978,775",,New Line Cinema
tt0103030,"$1,710,057",,Miramax
tt0103016,"$15,545,943",,Warner Bros.
tt0103007,"$11,000,863","$22,000,000",Twentieth Century Fox
tt0103003,"$6,948,859",,New Line Cinema
tt0101821,"$14,143,280",,Walt Disney Studios Motion Pictures
tt0101252,"$2,120,564",,Twentieth Century Fox
tt0101811,"$13,200,170",,Miramax
tt0101272,"$191,502,426","$30,000,000",Paramount Pictures
tt0101273,"$396,573",,Orion Classics
tt0101393,"$152,368,585",,Universal Pictures
tt0101428,"$403,056",,MK2 US
tt0101414,"$424,967,620","$25,000,000",Walt Disney Studios Motion Pictures
tt0101412,"$869,325",,New Line Cinema
tt0101410,"$6,153,939",,Twentieth Century Fox
tt0101329,"$40,766,041",,Universal Pictures
tt0101324,"$23,034",,Castle Hill Productions
tt0101318,"$29,679",,Miramax
tt0101301,"$14,812,144",,Paramount Pictures
tt0101452,"$38,039,850",,Orion Pictures
tt0099587,"$14,587,732","$35,000,000",Paramount Pictures
tt0100488,"$561,000",,Studio Thre
tt0099558,"$10,405,394",,Miramax
